tiempo,i_forestacion,m_forestacion
1990,0.00,0
1991,0.00,0
1992,0.00,0
1993,0.00,0
1994,0.00,0
1995,0.00,0
1996,0.00,0
1997,0.00,0
1998,0.00,0
1999,0.00,0
2000,0.00,0
2001,0.00,0
2002,0.00,0
2003,0.00,0
2004,0.00,0
2005,0.00,0
2006,0.00,0
2007,0.00,0
2008,0.00,0
2009,0.00,0
2010,0.00,0
2011,0.00,0
2012,0.00,0
2013,0.00,0
2014,0.00,0
2015,0.00,0
2016,0.00,0
2017,0.00,0
2018,0.00,0
2019,0.00,0
2020,0.00,0
1990,0.10,0
1991,0.10,0
1992,0.10,0
1993,0.10,0
1994,0.10,0
1995,0.10,0
1996,0.10,0
1997,0.10,0
1998,0.10,0
1999,0.10,0
2000,0.10,0
2001,0.10,0
2002,0.10,0
2003,0.10,0
2004,0.10,0
2005,0.10,0
2006,0.10,0
2007,0.10,0
2008,0.10,0
2009,0.10,0
2010,0.10,0
2011,0.10,0
2012,0.10,0
2013,0.10,0
2014,0.10,0
2015,0.10,0
2016,0.10,0
2017,0.10,0
2018,0.10,0
2019,0.10,0
2020,0.10,0
1990,0.50,0
1991,0.50,0
1992,0.50,0
1993,0.50,0
1994,0.50,0
1995,0.50,0
1996,0.50,0
1997,0.50,0
1998,0.50,0
1999,0.50,0
2000,0.50,0
2001,0.50,0
2002,0.50,0
2003,0.50,0
2004,0.50,0
2005,0.50,0
2006,0.50,0
2007,0.50,0
2008,0.50,0
2009,0.50,0
2010,0.50,0
2011,0.50,0
2012,0.50,0
2013,0.50,0
2014,0.50,0
2015,0.50,0
2016,0.50,0
2017,0.50,0
2018,0.50,0
2019,0.50,0
2020,0.50,0
1990,1.00,0
1991,1.00,0
1992,1.00,0
1993,1.00,0
1994,1.00,0
1995,1.00,0
1996,1.00,0
1997,1.00,0
1998,1.00,0
1999,1.00,0
2000,1.00,0
2001,1.00,0
2002,1.00,0
2003,1.00,0
2004,1.00,0
2005,1.00,0
2006,1.00,0
2007,1.00,0
2008,1.00,0
2009,1.00,0
2010,1.00,0
2011,1.00,0
2012,1.00,0
2013,1.00,0
2014,1.00,0
2015,1.00,0
2016,1.00,0
2017,1.00,0
2018,1.00,0
2019,1.00,0
2020,1.00,0
2021,0.00,0
2022,0.00,0
2023,0.00,0
2024,0.00,0
2025,0.00,0
2026,0.00,0
2027,0.00,0
2028,0.00,0
2029,0.00,0
2030,0.00,0
2031,0.00,0
2032,0.00,0
2033,0.00,0
2034,0.00,0
2035,0.00,0
2036,0.00,0
2037,0.00,0
2038,0.00,0
2039,0.00,0
2040,0.00,0
2041,0.00,0
2042,0.00,0
2043,0.00,0
2044,0.00,0
2045,0.00,0
2046,0.00,0
2047,0.00,0
2048,0.00,0
2049,0.00,0
2050,0.00,0
2021,0.10,0
2022,0.10,0
2023,0.10,0
2024,0.10,0.065790366
2025,0.10,0.131580732
2026,0.10,0.197371098
2027,0.10,0.263161464
2028,0.10,0.32895183
2029,0.10,0.394742196
2030,0.10,0.460532562
2031,0.10,0.471497623
2032,0.10,0.482462684
2033,0.10,0.493427745
2034,0.10,0.504392806
2035,0.10,0.515357867
2036,0.10,0.526322928
2037,0.10,0.537287988
2038,0.10,0.548253049
2039,0.10,0.55921811
2040,0.10,0.570183171
2041,0.10,0.581148232
2042,0.10,0.592113293
2043,0.10,0.603078354
2044,0.10,0.614043415
2045,0.10,0.625008476
2046,0.10,0.635973537
2047,0.10,0.646938598
2048,0.10,0.657903659
2049,0.10,0.685257435
2050,0.10,0.712611211
2021,0.50,0
2022,0.50,0
2023,0.50,0
2024,0.50,0.32895183
2025,0.50,0.657903659
2026,0.50,0.986855489
2027,0.50,1.315807319
2028,0.50,1.644759148
2029,0.50,1.973710978
2030,0.50,2.302662808
2031,0.50,2.357488113
2032,0.50,2.412313418
2033,0.50,2.467138723
2034,0.50,2.521964028
2035,0.50,2.576789333
2036,0.50,2.631614638
2037,0.50,2.686439942
2038,0.50,2.741265247
2039,0.50,2.796090552
2040,0.50,2.850915857
2041,0.50,2.905741162
2042,0.50,2.960566467
2043,0.50,3.015391772
2044,0.50,3.070217077
2045,0.50,3.125042382
2046,0.50,3.179867687
2047,0.50,3.234692992
2048,0.50,3.289518297
2049,0.50,3.426287176
2050,0.50,3.563056055
2021,1.00,0
2022,1.00,0
2023,1.00,0
2024,1.00,0.657903659
2025,1.00,1.315807319
2026,1.00,1.973710978
2027,1.00,2.631614638
2028,1.00,3.289518297
2029,1.00,3.947421956
2030,1.00,4.605325616
2031,1.00,4.714976226
2032,1.00,4.824626835
2033,1.00,4.934277445
2034,1.00,5.043928055
2035,1.00,5.153578665
2036,1.00,5.263229275
2037,1.00,5.372879885
2038,1.00,5.482530495
2039,1.00,5.592181105
2040,1.00,5.701831715
2041,1.00,5.811482325
2042,1.00,5.921132934
2043,1.00,6.030783544
2044,1.00,6.140434154
2045,1.00,6.250084764
2046,1.00,6.359735374
2047,1.00,6.469385984
2048,1.00,6.579036594
2049,1.00,6.852574352
2050,1.00,7.126112109
